step,score,time,decipher rate
500,0.992,0.6,0.52
750,0.989,0.87,0.54
1000,0.993,1.36,0.52
1250,0.993,1.56,0.52
1500,0.99,1.33,0.5
1750,0.99,1.87,0.5
2000,0.993,1.47,0.59
