step,score,time,decipher rate
500,0.58,5.26,0.0
750,0.59,10.4,0.1
1000,0.686,9.91,0.26
1250,0.59,14.92,0.01
1500,0.671,13.27,0.0
1750,0.7,12.19,0.38
2000,0.783,16.95,0.0
