step,score,time,decipher rate
500,0.92,1.93,0.93
750,0.92,4.16,0.93
1000,0.92,3.25,0.93
1250,0.627,2.98,0.0
1500,0.696,2.91,0.26
1750,0.92,3.4,0.93
2000,0.92,2.51,0.93
